Epoch,Loss_train
355,"(0.10915679484605789,)"
356,"(0.10911162942647934,)"
357,"(0.1090669259428978,)"
358,"(0.10902246087789536,)"
359,"(0.10897842794656754,)"
360,"(0.1089349165558815,)"
361,"(0.10889173299074173,)"
362,"(0.10884887725114822,)"
363,"(0.1088063195347786,)"
364,"(0.10876402258872986,)"
365,"(0.10872210562229156,)"
366,"(0.1086805984377861,)"
367,"(0.1086394190788269,)"
368,"(0.10859845578670502,)"
369,"(0.10855786502361298,)"
370,"(0.10851762443780899,)"
371,"(0.10847766697406769,)"
372,"(0.10843799263238907,)"
373,"(0.10839857906103134,)"
374,"(0.10835935175418854,)"
375,"(0.10832029581069946,)"
376,"(0.10828138142824173,)"
377,"(0.10824268311262131,)"
378,"(0.10820420831441879,)"
379,"(0.10816601663827896,)"
380,"(0.10812807083129883,)"
381,"(0.10809025168418884,)"
382,"(0.10805273056030273,)"
383,"(0.10801537334918976,)"
384,"(0.10797825455665588,)"
385,"(0.10794129222631454,)"
386,"(0.10790454596281052,)"
387,"(0.10786796361207962,)"
388,"(0.10783150047063828,)"
389,"(0.10779522359371185,)"
390,"(0.1077590361237526,)"
391,"(0.10772295296192169,)"
392,"(0.10768697410821915,)"
393,"(0.10765114426612854,)"
394,"(0.10761547833681107,)"
395,"(0.10757996886968613,)"
396,"(0.10754461586475372,)"
397,"(0.10750934481620789,)"
398,"(0.10747431963682175,)"
399,"(0.10743947327136993,)"
400,"(0.10740470141172409,)"
401,"(0.10737007111310959,)"
402,"(0.10733555257320404,)"
403,"(0.1073012724518776,)"
404,"(0.10726715624332428,)"
405,"(0.10723307728767395,)"
406,"(0.10719912499189377,)"
407,"(0.10716530680656433,)"
408,"(0.10713166743516922,)"
409,"(0.10709809511899948,)"
410,"(0.10706453770399094,)"
411,"(0.10703107714653015,)"
412,"(0.10699765384197235,)"
413,"(0.10696428269147873,)"
414,"(0.1069309338927269,)"
415,"(0.10689768195152283,)"
416,"(0.10686447471380234,)"
417,"(0.10683134943246841,)"
418,"(0.10679823160171509,)"
419,"(0.10676514357328415,)"
420,"(0.106732077896595,)"
421,"(0.10669910907745361,)"
422,"(0.10666622221469879,)"
423,"(0.10663341730833054,)"
424,"(0.10660060495138168,)"
425,"(0.10656774044036865,)"
426,"(0.1065349355340004,)"
427,"(0.10650209337472916,)"
428,"(0.10646918416023254,)"
429,"(0.10643623024225235,)"
430,"(0.10640323907136917,)"
431,"(0.10637018084526062,)"
432,"(0.10633726418018341,)"
433,"(0.10630445182323456,)"
434,"(0.1062716692686081,)"
435,"(0.10623886436223984,)"
436,"(0.10620604455471039,)"
437,"(0.10617312788963318,)"
438,"(0.10614025592803955,)"
439,"(0.10610739886760712,)"
440,"(0.10607460886240005,)"
441,"(0.10604194551706314,)"
442,"(0.10600925981998444,)"
443,"(0.10597660392522812,)"
444,"(0.10594408214092255,)"
445,"(0.10591166466474533,)"
446,"(0.10587944090366364,)"
447,"(0.1058470755815506,)"
448,"(0.10581465065479279,)"
449,"(0.10578225553035736,)"
450,"(0.10574984550476074,)"
451,"(0.1057175025343895,)"
452,"(0.10568525642156601,)"
453,"(0.10565294325351715,)"
454,"(0.1056206077337265,)"
455,"(0.10558820515871048,)"
456,"(0.10555566847324371,)"
457,"(0.10552313923835754,)"
458,"(0.10549050569534302,)"
459,"(0.10545780509710312,)"
460,"(0.10542502999305725,)"
461,"(0.10539218783378601,)"
462,"(0.1053592786192894,)"
463,"(0.10532639920711517,)"
464,"(0.10529346764087677,)"
465,"(0.10526041686534882,)"
466,"(0.10522736608982086,)"
467,"(0.1051943376660347,)"
468,"(0.10516131669282913,)"
469,"(0.105128213763237,)"
470,"(0.10509507358074188,)"
471,"(0.1050618514418602,)"
472,"(0.10502871870994568,)"
473,"(0.10499551892280579,)"
474,"(0.10496225953102112,)"
475,"(0.10492898523807526,)"
476,"(0.104895681142807,)"
477,"(0.10486230999231339,)"
478,"(0.10482900589704514,)"
479,"(0.10479562729597092,)"
480,"(0.10476213693618774,)"
481,"(0.10472873598337173,)"
482,"(0.10469530522823334,)"
483,"(0.10466186702251434,)"
484,"(0.10462836176156998,)"
485,"(0.10459481179714203,)"
486,"(0.10456124693155289,)"
487,"(0.1045275628566742,)"
488,"(0.10449384897947311,)"
489,"(0.10446012020111084,)"
490,"(0.10442642867565155,)"
491,"(0.1043926402926445,)"
492,"(0.10435880720615387,)"
493,"(0.10432491451501846,)"
494,"(0.10429093986749649,)"
495,"(0.10425690561532974,)"
496,"(0.10422292351722717,)"
497,"(0.10418884456157684,)"
498,"(0.10415466874837875,)"
